3-a	cont_a	3-b	cont_b	3-c	cont_c	3-d	cont_d	3-e	cont_e	3-f	cont_f	3-g	cont_g	3-h	cont_h	3-i	cont_i
コし	0.003320582	るも	0.002947662	しつ	0.003686378	まを	0.003254801	ヘば	0.002975749	ノす	0.0032706	むな	0.00302345	さく	0.003087346	ちも	0.003090202
すぎ	0.003320582	りせ	0.002870295	よノ	0.003686378	をれ	0.003254801	ソメ	0.002897645	をに	0.0032706	ノい	0.002944094	どに	0.003087346	つゲ	0.003090202
でて	0.003320582	みず	0.002792929	きぬ	0.003606413	きノ	0.003175609	みだ	0.002819542	ひか	0.003191024	とり	0.002864738	りコ	0.003087346	にも	0.003090202
トめ	0.003320582	さメ	0.002638196	ケな	0.003606413	ノの	0.003096417	るに	0.002819542	ヨに	0.003191024	ひな	0.002864738	おく	0.003010355	りも	0.003090202
ノこ	0.003320582	つあ	0.002483463	さし	0.003606413	まゆ	0.003096417	がお	0.002741438	さや	0.003111447	がね	0.002785383	ちる	0.003010355	れも	0.003090202
コぐ	0.003083961	れは	0.002483463	たが	0.003606413	つを	0.003017224	いに	0.002663334	すか	0.003111447	もす	0.002785383	のへ	0.003010355	れや	0.003090202
こし	0.003083961	をら	0.002483463	われ	0.003606413	まよ	0.003017224	ぬベ	0.002663334	ドり	0.003111447	をさ	0.002706027	づき	0.002933364	たエ	0.003013139
いざ	0.002926214	てあ	0.002406096	たに	0.003526448	から	0.002938032	べな	0.002663334	ふノ	0.003111447	すな	0.002626671	はさ	0.002933364	びト	0.003013139
ヨす	0.002926214	ひだ	0.002406096	るつ	0.003446484	あた	0.00285884	すぎ	0.002585231	しり	0.00303187	みる	0.002626671	かど	0.002856373	ヘド	0.003013139
るな	0.002768466	ほく	0.002406096	ちを	0.003286554	くか	0.00285884	ねも	0.002585231	せノ	0.00303187	ヨノ	0.002626671	から	0.002856373	まコ	0.003013139
てむ	0.002689593	らた	0.002406096	よふ	0.003286554	ぬれ	0.00285884	ヘぬ	0.002585231	はせ	0.00303187	はき	0.002547316	なさ	0.002779382	ずト	0.002936077
ノエ	0.002689593	こふ	0.00232873	がて	0.003206589	エて	0.002779648	しゾ	0.002507127	のは	0.002952294	まさ	0.002547316	むき	0.002779382	トゾ	0.002936077
へな	0.002689593	てい	0.00232873	さよ	0.003206589	さは	0.002779648	はね	0.002507127	をは	0.002872717	やき	0.002547316	しき	0.002702391	りし	0.002936077
きす	0.002610719	びに	0.00232873	ぬら	0.003206589	なつ	0.002700455	もで	0.002429023	かさ	0.00279314	くを	0.00246796	なふ	0.002702391	トゴ	0.002859014
こノ	0.002610719	ヒを	0.00232873	るき	0.003206589	ふさ	0.002700455	やす	0.002429023	しし	0.00279314	つケ	0.00246796	にふ	0.002702391	ふた	0.002859014
たま	0.002610719	かつ	0.002251364	ちノ	0.003126624	ちな	0.002621263	ばし	0.00235092	しへ	0.00279314	なな	0.002388605	にほ	0.002702391	ずし	0.002781952
にた	0.002610719	くひ	0.002251364	てる	0.003126624	ノね	0.002621263	ロか	0.00235092	ある	0.002713564	にい	0.002309249	るゆ	0.002702391	いヘ	0.00270489
るみ	0.002610719	ふか	0.002251364	ひを	0.003126624	もか	0.002621263	おふ	0.002272816	せに	0.002713564	かづ	0.002229893	れに	0.002702391	しは	0.00270489
だノ	0.002531845	ばく	0.002173997	まと	0.003126624	るや	0.002621263	しさ	0.002272816	ドあ	0.002633987	さつ	0.002229893	りか	0.002625399	ちた	0.00270489
エむ	0.002452972	るく	0.002173997	たメ	0.003046659	れに	0.002621263	トく	0.002272816	よき	0.002633987	なす	0.002229893	うゑ	0.002548408	ノト	0.00270489
たて	0.002452972	ゲノ	0.002096631	をば	0.002966695	がか	0.002542071	にこ	0.002272816	みヨ	0.002554411	なつ	0.002229893	なで	0.002548408	むひ	0.00270489
みつ	0.002452972	ミし	0.002096631	はひ	0.00288673	みわ	0.002542071	もお	0.002272816	さほ	0.002474834	みに	0.002229893	ふく	0.002548408	しぬ	0.002550765
りそ	0.002452972	いか	0.002019264	くろ	0.002806765	らさ	0.002542071	トお	0.002194712	てか	0.002474834	あや	0.002150538	しぐ	0.002394426	ふト	0.002550765
さわ	0.002374098	かゆ	0.002019264	らぬ	0.0027268	りく	0.002542071	トほ	0.002194712	ては	0.002474834	すむ	0.002150538	ほひ	0.002394426	じト	0.002473702
りた	0.002374098	ソノ	0.002019264	りみ	0.0027268	くら	0.002462879	がす	0.002038505	たて	0.002395257	コだ	0.002071182	こを	0.002317435	トせ	0.002473702
ごノ	0.002295224	もが	0.002019264	がつ	0.002646835	へに	0.002462879	から	0.002038505	はば	0.002395257	ドり	0.002071182	みせ	0.002317435	すび	0.00239664
せノ	0.002295224	をる	0.002019264	かヘ	0.002646835	みト	0.002462879	ヘて	0.002038505	ヨロ	0.002395257	きソ	0.001991826	もい	0.002317435	ノヘ	0.00239664
がふ	0.002216351	ぐさ	0.001941898	くり	0.002566871	しづ	0.002383686	きき	0.001960401	こら	0.002315681	ぐら	0.001991826	さけ	0.002240443	はじ	0.00239664
なと	0.002216351	しロ	0.001941898	ノよ	0.002566871	さゆ	0.002304494	ひて	0.001960401	せを	0.002315681	くり	0.001991826	にき	0.002240443	れこ	0.00239664
ぬノ	0.002216351	ませ	0.001941898	るま	0.002566871	やト	0.002304494	むト	0.001960401	なづ	0.002315681	トふ	0.001991826	にな	0.002163452	さに	0.002319578
はて	0.002216351	いと	0.001864531	がみ	0.002406941	やな	0.002304494	るい	0.001960401	ノせ	0.002315681	なが	0.001991826	がね	0.002086461	ふコ	0.002319578
ほぶ	0.002216351	びゆ	0.001864531	コむ	0.002406941	がり	0.002225302	がし	0.001882298	むさ	0.002315681	うな	0.001912471	きや	0.002086461	ミな	0.002319578
ずも	0.002137477	むを	0.001864531	にい	0.002406941	さら	0.002225302	ゴロ	0.001882298	そか	0.002236104	とに	0.001912471	ざし	0.002086461	くは	0.002242515
ぬき	0.002137477	しい	0.001787165	トド	0.002326976	ノゆ	0.002225302	だれ	0.001882298	みる	0.002236104	ねな	0.001912471	ばノ	0.00200947	ずて	0.002242515
らミ	0.002137477	ちし	0.001787165	まて	0.002326976	かや	0.00214611	なゐ	0.001882298	らね	0.002236104	おヒ	0.001833115	ひに	0.00200947	はに	0.002242515
るあ	0.002137477	ゆゑ	0.001787165	うれ	0.002167046	きむ	0.00214611	ばか	0.001882298	ゲく	0.002156527	さか	0.001833115	メは	0.00200947	れト	0.002242515
